
o4,24,ok
o5,24,ok
o3,24,ok
o2,24,ok
o6,24,ok
o1,24,ok
o7,24,ok
o8,24,ok
o15,48,ok
o6,48,ok
o13,48,ok
o7,48,ok
o9,48,ok
o4,48,ok
o5,48,ok
o14,48,ok
o11,48,ok
o8,48,ok
o2,48,ok
o16,48,ok
o1,48,ok
o3,48,ok
o12,48,ok
o4,72,ok
o8,72,ok
o12,72,ok
o14,72,ok
o11,72,ok
o7,72,ok
o17,72,ok
o1,72,ok
o6,72,ok
o2,72,ok
o9,72,ok
o16,72,ok
o13,72,ok
o5,72,ok
o3,72,ok
o15,72,ok
o10,72,ok
o29,96,ok
o21,96,ok
o13,96,ok
o9,96,ok
o10,96,ok
o16,96,ok
o17,96,ok
o5,96,ok
o28,96,ok
o25,96,ok
o7,96,ok
o22,96,ok
o11,96,ok
o26,96,ok
o4,96,ok
o2,96,ok
o19,96,ok
o14,96,ok
o23,96,ok
o6,96,ok
o27,96,ok
o12,96,ok
o8,96,ok
o15,96,ok
o1,96,ok
o3,96,ok
o24,96,ok
o18,96,ok
o31,120,ok
o7,120,ok
o5,120,ok
o16,120,ok
o11,120,ok
o10,120,ok
o25,120,ok
o26,120,ok
o6,120,ok
o23,120,ok
o24,120,ok
o28,120,ok
o21,120,ok
o27,120,ok
o22,120,ok
o13,120,ok
o15,120,ok
o29,120,ok
o19,120,ok
o18,120,ok
o2,120,ok
o1,120,ok
o3,120,ok
o8,120,ok
o9,120,ok
o32,120,ok
o20,120,ok
o14,120,ok
o12,120,ok
o17,120,ok
o4,120,ok
o37,144,ok
o25,144,ok
o18,144,ok
o35,144,ok
o19,144,ok
o30,144,ok
o7,144,ok
o1,144,ok
o17,144,ok
o26,144,ok
o6,144,ok
o2,144,ok
o4,144,ok
o29,144,ok
o14,144,ok
o28,144,ok
o8,144,ok
o33,144,ok
o36,144,ok
o5,144,ok
o32,144,ok
o12,144,ok
o22,144,ok
o15,144,ok
o3,144,ok
o13,144,ok
