,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
163,164,place_order,Resource2,70,71,o10,,,
253,254,place_order,Resource1,98,98,o20,,,
270,271,check_availability,Resource5,102,105,o10,o10-i0,,
271,272,check_availability,Resource6,102,104,o10,o10-i1,,
359,360,check_availability,Resource5,130,132,o20,o20-i0,,
360,361,check_availability,Resource6,130,132,o20,o20-i1,,
378,379,pick_item,Resource5,135,137,o10,o10-i1,,
385,386,pick_item,Resource6,136,137,o10,o10-i0,,
388,389,send_invoice,Resource3,137,144,o10,,,
404,405,place_order,Resource1,146,149,o30,,,
447,448,pick_item,Resource5,163,166,o20,o20-i0,,
448,449,pick_item,Resource6,163,167,o20,o20-i1,,
461,462,send_invoice,Resource3,167,172,o20,,,
463,464,pack_items,Resource11,168,174,o10,,o10-p1,
478,479,receive_payment,Resource3,175,180,o10,,,
488,489,check_availability,Resource5,178,180,o30,o30-i0,,
489,490,check_availability,Resource6,178,179,o30,o30-i1,,
495,496,place_order,Resource2,183,184,o41,,,
497,498,place_order,Resource2,184,185,o42,,,
498,499,check_availability,Resource5,184,184,o41,o41-i0,,
499,500,check_availability,Resource6,184,184,o41,o41-i1,,
500,501,place_order,Resource2,185,186,o43,,,
501,502,pick_item,Resource5,185,186,o41,o41-i0,,
502,503,pick_item,Resource6,185,187,o41,o41-i1,,
503,504,check_availability,Resource7,185,188,o42,o42-i0,,
504,505,check_availability,Resource8,185,186,o42,o42-i1,,
506,507,pick_item,Resource5,186,187,o42,o42-i1,,
507,508,check_availability,Resource8,186,188,o43,o43-i0,,
509,510,check_availability,Resource5,187,189,o43,o43-i1,,
511,512,pick_item,Resource6,188,190,o42,o42-i0,,
512,513,pick_item,Resource7,188,191,o43,o43-i0,,
515,516,pick_item,Resource5,189,191,o43,o43-i1,,
516,517,place_order,Resource1,190,193,o44,,,
517,518,check_availability,Resource5,191,193,o44,o44-i0,,
518,519,check_availability,Resource6,191,194,o44,o44-i1,,
520,521,place_order,Resource2,192,195,o45,,,
522,523,place_order,Resource1,193,194,o46,,,
523,524,pick_item,Resource5,193,196,o44,o44-i0,,
524,525,check_availability,Resource7,193,196,o45,o45-i0,,
525,526,check_availability,Resource8,193,195,o45,o45-i1,,
527,528,place_order,Resource1,194,196,o47,,,
528,529,pick_item,Resource6,194,196,o44,o44-i1,,
529,530,check_availability,Resource8,195,197,o46,o46-i0,,
530,531,check_availability,Resource5,196,199,o46,o46-i1,,
531,532,pick_item,Resource6,196,197,o45,o45-i1,,
532,533,check_availability,Resource7,196,195,o47,o47-i0,,
534,535,pick_item,Resource6,197,199,o47,o47-i0,,
535,536,check_availability,Resource7,197,199,o47,o47-i1,,
536,537,pick_item,Resource8,197,199,o45,o45-i0,,
538,539,pack_items,Resource9,198,204,o20,,o20-p1,
539,540,place_order,Resource1,199,201,o48,,,
540,541,pick_item,Resource5,199,202,o46,o46-i0,,
541,542,pick_item,Resource6,199,199,o46,o46-i1,,
542,543,pick_item,Resource7,199,202,o47,o47-i1,,
543,544,place_order,Resource2,200,203,o49,,,
544,545,check_availability,Resource6,200,202,o48,o48-i0,,
545,546,check_availability,Resource8,200,203,o48,o48-i1,,
546,547,check_availability,Resource5,202,206,o49,o49-i0,,
547,548,check_availability,Resource6,202,205,o49,o49-i1,,
548,549,pick_item,Resource7,202,204,o48,o48-i0,,
551,552,receive_payment,Resource1,203,207,o20,,,
552,553,pick_item,Resource8,203,207,o48,o48-i1,,
553,554,place_order,Resource2,205,206,o51,,,
554,555,pick_item,Resource6,205,208,o49,o49-i1,,
555,556,store_package,Resource9,205,210,o10,,o10-p1,
556,557,place_order,Resource2,206,208,o40,,,
557,558,pick_item,Resource5,206,210,o49,o49-i0,,
558,559,check_availability,Resource7,206,207,o51,o51-i0,,
559,560,send_invoice,Resource1,207,212,o41,,,
560,561,send_invoice,Resource3,207,211,o42,,,
561,562,send_invoice,Resource4,207,213,o43,,,
562,563,check_availability,Resource7,207,209,o51,o51-i1,,
563,564,pick_item,Resource8,207,207,o51,o51-i0,,
564,565,pack_items,Resource10,207,213,o41,,o41-p1,
565,566,pack_items,Resource11,207,213,o42,,o42-p1,
566,567,pack_items,Resource12,207,211,o43,,o43-p1,
567,568,send_invoice,Resource2,208,213,o44,,,
568,569,pick_item,Resource6,209,211,o51,o51-i1,,
569,570,pick_item,Resource5,210,212,o30,o30-i1,,
570,571,pack_items,Resource9,210,215,o44,,o44-p1,
571,572,send_invoice,Resource3,211,214,o46,,,
572,573,pick_item,Resource6,211,214,o30,o30-i0,,
