,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
86,87,place_order,Resource3,31,34,o9,,,
89,90,check_availability,Resource5,32,35,o9,o9-i0,,
90,91,check_availability,Resource6,32,35,o9,o9-i1,,
94,95,pick_item,Resource5,35,38,o9,o9-i0,,
95,96,pick_item,Resource6,35,37,o9,o9-i1,,
99,100,send_invoice,Resource1,38,41,o9,,,
100,101,pack_items,Resource10,38,44,o9,,o9-p1,
101,102,place_order,Resource2,40,41,o11,,,
104,105,receive_payment,Resource1,41,47,o9,,,
105,106,check_availability,Resource5,41,46,o11,o11-i0,,
106,107,check_availability,Resource6,41,42,o11,o11-i1,,
107,108,pick_item,Resource6,42,43,o11,o11-i1,,
110,111,store_package,Resource9,44,50,o9,,o9-p1,
113,114,pick_item,Resource5,46,49,o11,o11-i0,,
114,115,place_order,Resource1,49,50,o12,,,
115,116,check_availability,Resource5,50,53,o12,o12-i0,,
116,117,check_availability,Resource6,50,51,o12,o12-i1,,
119,120,start_route,Resource15,50,53,o9,,,o9-p1-r1
120,121,pick_item,Resource6,51,52,o12,o12-i1,,
121,122,place_order,Resource1,53,55,o13,,,
122,123,pick_item,Resource5,53,55,o12,o12-i0,,
124,125,load_package,Resource15,53,58,o9,,,o9-p1-r1
125,126,place_order,Resource2,54,57,o14,,,
126,127,check_availability,Resource6,54,55,o13,o13-i0,,
127,128,check_availability,Resource7,54,57,o13,o13-i1,,
128,129,place_order,Resource1,55,56,o15,,,
129,130,pick_item,Resource5,55,58,o13,o13-i0,,
130,131,check_availability,Resource6,55,56,o14,o14-i0,,
131,132,check_availability,Resource8,55,58,o14,o14-i1,,
132,133,place_order,Resource1,56,59,o16,,,
133,134,pick_item,Resource6,56,58,o14,o14-i0,,
134,135,check_availability,Resource7,57,59,o15,o15-i0,,
135,136,place_order,Resource2,58,61,o17,,,
136,137,check_availability,Resource5,58,61,o15,o15-i1,,
137,138,pick_item,Resource6,58,61,o13,o13-i1,,
138,139,check_availability,Resource8,58,60,o16,o16-i0,,
139,140,deliver_package,Resource13,58,62,o9,,,o9-p1-r1
140,141,place_order,Resource1,59,60,o18,,,
141,142,check_availability,Resource7,59,61,o16,o16-i1,,
142,143,pick_item,Resource8,60,63,o14,o14-i1,,
143,144,pick_item,Resource5,61,63,o15,o15-i0,,
144,145,check_availability,Resource6,61,62,o17,o17-i0,,
145,146,check_availability,Resource7,61,65,o17,o17-i1,,
146,147,pick_item,Resource6,62,64,o16,o16-i0,,
147,148,failed_delivery,Resource13,62,68,o9,,,o9-p1-r1
148,149,check_availability,Resource5,63,63,o18,o18-i0,,
149,150,check_availability,Resource8,63,65,o18,o18-i1,,
150,151,pick_item,Resource5,64,67,o15,o15-i1,,
151,152,pick_item,Resource6,64,65,o16,o16-i1,,
152,153,place_order,Resource1,65,67,o19,,,
153,154,pick_item,Resource6,65,66,o17,o17-i0,,
154,155,pick_item,Resource7,65,67,o18,o18-i0,,
155,156,pick_item,Resource8,65,68,o17,o17-i1,,
156,157,pick_item,Resource6,66,70,o18,o18-i1,,
157,158,check_availability,Resource5,67,68,o19,o19-i0,,
158,159,check_availability,Resource7,67,69,o19,o19-i1,,
159,160,pick_item,Resource5,68,70,o19,o19-i0,,
163,164,place_order,Resource2,70,71,o10,,,
