,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
0,1,place_order,Resource1,0,2,o1,,,
1,2,place_order,Resource2,0,4,o2,,,
2,3,check_availability,Resource5,0,2,o1,o1-i0,,
3,4,check_availability,Resource6,0,2,o1,o1-i1,,
4,5,check_availability,Resource7,1,4,o2,o2-i0,,
5,6,check_availability,Resource8,1,2,o2,o2-i1,,
6,7,pick_item,Resource5,2,4,o1,o1-i0,,
7,8,pick_item,Resource6,2,2,o1,o1-i1,,
8,9,pick_item,Resource8,2,3,o2,o2-i1,,
9,10,place_order,Resource1,3,6,o3,,,
10,11,send_invoice,Resource2,4,9,o1,,,
11,12,place_order,Resource3,4,5,o4,,,
12,13,pick_item,Resource5,4,5,o2,o2-i0,,
13,14,pick_item,Resource6,4,5,o3,o3-i0,,
14,15,check_availability,Resource7,4,4,o3,o3-i1,,
15,16,pack_items,Resource9,4,11,o1,,o1-p1,
16,17,send_invoice,Resource3,5,10,o2,,,
17,18,pick_item,Resource5,5,5,o3,o3-i1,,
18,19,check_availability,Resource6,5,5,o4,o4-i0,,
19,20,check_availability,Resource7,5,7,o4,o4-i1,,
20,21,pack_items,Resource10,5,10,o2,,o2-p1,
21,22,send_invoice,Resource1,6,11,o3,,,
22,23,pick_item,Resource5,6,10,o4,o4-i0,,
23,24,pack_items,Resource11,6,11,o3,,o3-p1,
24,25,pick_item,Resource6,7,11,o4,o4-i1,,
25,26,place_order,Resource4,8,9,o5,,,
26,27,receive_payment,Resource2,9,13,o1,,,
27,28,check_availability,Resource7,9,10,o5,o5-i0,,
28,29,check_availability,Resource8,9,13,o5,o5-i1,,
29,30,receive_payment,Resource3,10,15,o2,,,
30,31,pick_item,Resource5,10,14,o5,o5-i0,,
31,32,store_package,Resource10,10,16,o2,,o2-p1,
32,33,send_invoice,Resource1,11,16,o4,,,
33,34,receive_payment,Resource4,11,16,o3,,,
34,35,store_package,Resource9,11,16,o1,,o1-p1,
35,36,store_package,Resource11,11,17,o3,,o3-p1,
36,37,pack_items,Resource12,11,17,o4,,o4-p1,
37,38,place_order,Resource2,13,16,o6,,,
38,39,pick_item,Resource6,13,16,o5,o5-i1,,
39,40,check_availability,Resource5,14,14,o6,o6-i0,,
40,41,check_availability,Resource7,14,16,o6,o6-i1,,
41,42,place_order,Resource3,15,16,o7,,,
42,43,pick_item,Resource5,15,16,o6,o6-i0,,
43,44,send_invoice,Resource1,16,21,o5,,,
44,45,receive_payment,Resource2,16,22,o4,,,
45,46,pick_item,Resource5,16,17,o6,o6-i1,,
46,47,check_availability,Resource6,16,18,o7,o7-i0,,
47,48,check_availability,Resource7,16,19,o7,o7-i1,,
48,49,pack_items,Resource9,16,21,o5,,o5-p1,
49,50,start_route,Resource13,16,20,o1,,,o1-p1-r1
50,51,start_route,Resource14,16,21,o2,,,o2-p1-r1
51,52,send_invoice,Resource3,17,23,o6,,,
52,53,store_package,Resource10,17,21,o4,,o4-p1,
54,55,start_route,Resource15,17,20,o3,,,o3-p1-r1
55,56,pick_item,Resource5,18,22,o7,o7-i0,,
56,57,pick_item,Resource6,19,20,o7,o7-i1,,
67,68,check_availability,Resource5,24,23,o8,o8-i0,,
