
o2,9,ok
o1,9,ok
o1,33,ok
o4,33,ok
o8,33,ok
o7,33,ok
o5,33,ok
o2,33,ok
o6,33,ok
o3,33,ok
o16,57,ok
o15,57,ok
o2,57,ok
o8,57,ok
o6,57,ok
o9,57,ok
o11,57,ok
o17,57,ok
o7,57,ok
o4,57,ok
o1,57,ok
o13,57,ok
o5,57,ok
o3,57,ok
o12,57,ok
o14,57,ok
o15,81,ok
o3,81,ok
o14,81,ok
o17,81,ok
o8,81,ok
o9,81,ok
o19,81,ok
o6,81,ok
o16,81,ok
o18,81,ok
o13,81,ok
o11,81,ok
o12,81,ok
o7,81,ok
o21,81,ok
o4,81,ok
o10,81,ok
o28,105,ok
o27,105,ok
o22,105,ok
o25,105,ok
o13,105,ok
o19,105,ok
o11,105,ok
o15,105,ok
o16,105,ok
o26,105,ok
o18,105,ok
o14,105,ok
o10,105,ok
o24,105,ok
o12,105,ok
o29,105,ok
o17,105,ok
o23,105,ok
o21,105,ok
o24,129,ok
o26,129,ok
o31,129,ok
o35,129,ok
o29,129,ok
o33,129,ok
o25,129,ok
o27,129,ok
o32,129,ok
o19,129,ok
o21,129,ok
o22,129,ok
o18,129,ok
o23,129,ok
o20,129,ok
o34,129,ok
o28,129,ok
o23,153,ok
o34,153,ok
o31,153,ok
o32,153,ok
o10,153,nok
o25,153,ok
o28,153,ok
o29,153,ok
o37,153,ok
o24,153,ok
o35,153,ok
o26,153,ok
o39,153,ok
o36,153,ok
o22,153,ok
o33,153,ok
o38,153,ok
o30,153,ok
o20,153,ok
o27,153,ok
o21,153,ok
o38,177,ok
o37,177,ok
o10,177,nok
o47,177,ok
o26,177,ok
o42,177,ok
o36,177,ok
o33,177,ok
o35,177,ok
o39,177,ok
o32,177,ok
o46,177,ok
o43,177,ok
o41,177,ok
o31,177,ok
o44,177,ok
o30,177,ok
o34,177,ok
o45,177,ok
o21,177,ok
o20,177,ok
