1,place_order,Resource1,5,7,o1,null,null,null
2,check_availability,Resource5,6,10,o1,o1-i0,null,null
3,check_availability,Resource6,6,9,o1,o1-i1,null,null
4,place_order,Resource1,7,10,o2,null,null,null
5,place_order,Resource2,8,12,o3,null,null,null
6,check_availability,Resource7,8,11,o2,o2-i0,null,null
7,check_availability,Resource8,8,9,o2,o2-i1,null,null
8,pick_item,Resource6,9,12,o1,o1-i1,null,null
9,pick_item,Resource8,9,12,o2,o2-i1,null,null
10,check_availability,Resource5,10,13,o3,o3-i0,null,null
11,place_order,Resource1,11,15,o4,null,null,null
12,check_availability,Resource7,11,12,o3,o3-i1,null,null
13,place_order,Resource2,12,15,o5,null,null,null
14,pick_item,Resource6,12,13,o1,o1-i0,null,null
15,pick_item,Resource7,12,14,o2,o2-i0,null,null
16,pick_item,Resource8,12,15,o3,o3-i1,null,null
17,send_invoice,Resource3,13,20,o1,null,null,null
18,check_availability,Resource5,13,15,o4,o4-i0,null,null
19,check_availability,Resource6,13,15,o4,o4-i1,null,null
20,pack_items,Resource9,13,18,o1,null,o1-p1,null
21,send_invoice,Resource4,14,19,o2,null,null,null
22,pick_item,Resource7,14,16,o3,o3-i0,null,null
23,pack_items,Resource10,14,18,o2,null,o2-p1,null
24,place_order,Resource1,15,17,o6,null,null,null
25,check_availability,Resource5,15,16,o5,o5-i0,null,null
26,check_availability,Resource6,15,18,o5,o5-i1,null,null
27,pick_item,Resource8,15,18,o4,o4-i0,null,null
28,send_invoice,Resource2,16,23,o3,null,null,null
29,pick_item,Resource5,16,18,o4,o4-i1,null,null
30,pick_item,Resource7,16,18,o5,o5-i0,null,null
31,pack_items,Resource11,16,20,o3,null,o3-p1,null
32,place_order,Resource1,17,20,o7,null,null,null
33,check_availability,Resource5,18,21,o6,o6-i0,null,null
34,check_availability,Resource6,18,19,o6,o6-i1,null,null
35,pick_item,Resource7,18,18,o5,o5-i1,null,null
36,check_availability,Resource8,18,19,o7,o7-i0,null,null
37,store_package,Resource9,18,23,o1,null,o1-p1,null
38,store_package,Resource10,18,21,o2,null,o2-p1,null
39,pack_items,Resource12,18,21,o4,null,o4-p1,null
40,send_invoice,Resource4,19,25,o4,null,null,null
41,check_availability,Resource6,19,20,o7,o7-i1,null,null
42,pick_item,Resource7,19,21,o6,o6-i1,null,null
43,pick_item,Resource8,19,22,o7,o7-i0,null,null
44,send_invoice,Resource1,20,26,o5,null,null,null
45,place_order,Resource3,20,21,o8,null,null,null
